Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2024-12-05 19:01:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7270512517389373440,Nuevo curso sobre Arduino desde cero en el canal de freeCodeCamp en español!,"","",MEMBER_NETWORK
2024-12-01 14:35:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7268996234688811008,"📢Ya salió el de *args y **kwargs! https://lnkd.in/dhPWxbZf""
""""
""Estoy intentando explicar de manera sencilla conceptos intermedios y avanzados de Python en Substack👇🏼 [link al blog en los comentarios]""
""""
""Hasta ahora hablé de: ""
""✅ Métodos mágicos ""
""✅ Comprensiones (de listas, sets, diccionarios, etc).","","",MEMBER_NETWORK
2024-11-30 16:56:33,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7268669245771718657,"🗜️ Listas (y otros tipos) por comprensión en Python""
""""
""Escribí un nuevo blog en substack explicando, del modo que me hubiera gustado a mi, cómo se construyen las listas y otros de compresiones en Python.""
""""
""Si les gusta compartan el post y comenten. Me interesa especialmente el feedback, especialmente si es algo para mejorar😃 ""
""""
""¿Las usaron? ¿Les costó entenderlas y aplicarlas?""
""""
""🔗Link en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena y activá la campana🔔 para enterarte cada vez que comparto contenido.""
""""
""#Python #Listas #programacion","","",MEMBER_NETWORK
2024-11-27 23:54:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267687340582621185,"💻 Tercer día del curso ""Ciencia de datos para salud mental y psicología: procesamiento del lenguaje natural, inferencia causal y procesamiento del habla"" dictado por el genio de Daniel M. Low del Departamentos de Psicología y Epidemiología de la Universidad de Harvard","","",MEMBER_NETWORK
2024-11-26 15:22:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7267196017274445825,Ojo si usan Microsof Office con data sensible. Revisen la configuración de privacidad.,"","",MEMBER_NETWORK
2024-11-26 14:33:44,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267183751326027777,El próximo lunes estaremos contando lo que hacemos desde el taller acá 👇,"","",MEMBER_NETWORK
2024-11-26 01:42:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7266989733635903488,"Justo estaba por escribir mi ""A dos años de chatGPT"" 😛","","",MEMBER_NETWORK
2024-11-23 17:37:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7266142800826486786,"Hace dos años que formo parte del Taller de Datos Populares, una actividad de extensión y vinculación de la Facultad de Ciencias Exactas y Naturales, UBA, dónde nuestro objetivo es utilizar herramientas de la Computación y la Ciencia de Datos para ayudar con problemáticas sociales.""
""""
""Me gustaría invitarlos a ""Scrapeando la crisis habitacional"" un evento dónde vamos a contar el trabajo de creación de una herramienta para obtener datos de vivienda en Argentina y donde contaremos con actores sociales expertos en esta problemática.""
""""
""Va a ser el próximo 2 de diciembre a las 18 Hs en el edificio 0 + infinito en Ciudad Universitaria (CABA)""
""""
""Los esperamos!","","",MEMBER_NETWORK
2024-11-18 16:11:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7264309318710104064,"""
""💻 🐍Curso gratis de Python de más de 10 horas en español 👇🏼""
""""
""[Si te sirve este contenido, compartilo 🔄]""
""""
""✅ Código Espinoza es el canal de Iván Espinoza, un desarrollador y creador de contenido con experiencia en Python, desarrollo de video juegos y aplicaciones  con IA.""
""""
""✅ El curso abarca conceptos esenciales como variables, tipos de datos, estructuras condicionales, bucles, funciones, listas, tuplas y diccionarios, conjuntos, manejo de archivos y errores, programación orientada a objetos, decoradores, funciones lambda, comprensiones y módulos.""
""""
""✅ Aprovechar y valorar el esfuerzo de creadores/as enseñando gratuitamente me parece clave, especialmente antes de decidir pagar un curso. Si les gusta suscribanse a su canal y déjenle un mensaje de agradecimiento que eso siempre se valora mucho. ""
""""
""⏳ Timestamps destacados""
""""
""💻 0:00:00 Aprende Python desde cero""
""💻 0:14:55 Variables y tipos de datos""
""💻 1:03:27 Bucles ""For"" y ""Range""""
""💻 1:32:21 Crear y usar funciones""
""💻 2:08:59 Diccionarios en detalle""
""💻 2:50:13 Programación Orientada a Objetos""
""💻 4:23:08 Aprende a crear tu PRIMERA ventana en Python con Tkinter""
""💻 7:25:16 Introducción a Pandas en Python""
""💻 8:22:27 ¿Cómo tratar con Datos Faltantes?""
""💻 9:32:08 Análisis de Datos Reales del Titanic: Un estudio de caso con Pandas""
""💻 10:30:41 Genera Carpetas y Archivos Basados en Categorías de Excel con Python""
""""
""🔗Link en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena  y activá la campana🔔 para enterarte cada vez que comparto contenido.""
""","","",MEMBER_NETWORK
2024-11-17 22:00:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7264034585821241344,"💻Escribí un blog breve en Substack explicando qué son los métodos mágicos en Python, comúnmente referidos con ""dunder"" (double underscore). Se trata de un tema clave para implementar funcionalidades en clases.""
""""
""🔗Link en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena  y activá la campana🔔 para enterarte cada vez que comparto contenido.""
""""
""#Python #blog #programación","","",MEMBER_NETWORK
